n. intervista,intervistato,top,estero,tema,data_intervista,nome_file,starter_id,clip_id,status,combinazione_colori,cover_titolo,check_length,sottopancia,parola_chiave_1,check_length,minutaggio_1,parola_chiave_2,check_length,minutaggio_2,parola_chiave_3,minutaggio_3,rough_edit,feedback_TODO,fine_edit,feedback_FGA,final_edit,tags,srt_starter,srt_clip,thumb
14,Roberto Cingolani,,,la tecnologia,25-Nov,,,,problematico - v. con Paolo,Blu/verde,Multidisciplinare,17,Fisico (o Nanotecnologo) TBC,politica dell'innovazione,25,0'38'',competenze diverse,18,1'13'',-,-,,,fare export da Premiere,,,tecnologia;eccellenze italiane;multidisciplinarietà;soluzioni,,,img/thumbs/
14,Roberto Cingolani,,,la tecnologia,25-Nov,,,,problematico - v. con Paolo,Magenta/ciano,Welfare supertecnologico,24,Fisico (o Nanotecnologo) TBC,mantenere il sistema,20,3'53'',Italian lifestyle,17,4'38'',-,-,,,fare export da Premiere,,,welfare;tecnologia;anziani;robot,,,img/thumbs/
14,Roberto Cingolani,,,la tecnologia,25-Nov,,,,problematico - v. con Paolo,Rosso/giallo,Qualità della vita,18,Fisico (o Nanotecnologo) TBC,imbattibili,11,5'27'',politica tecnologica,20,5'45'',-,-,,,fare export da Premiere,,,tecnologia;Italia;qualità della vita;eccellenze italiane;plastica;sostenibile;robot;intelligenza artificiale,,,img/thumbs/
15,Paola Antonelli,,,il design,30-Nov,,rWMb1kIpqT4,Nd_ymFpJWh0,approvato da MG/export,Blu/verde,Design biologico,16,Curatrice MoMA New York,Bio-couture,11,1:50,-,1,-,-,-,,,fare export da Premiere,,,design;biologico;tecnologia;digitale;scienza;moda;materiali;bio,,,img/thumbs/pantonelli-thumb.png
15,Paola Antonelli,,,il design,30-Nov,,9KQK6MvnVSk,kVkZF_THViE,approvato da MG/export,Magenta/ciano,Adeguarsi al presente,21,Curatrice MoMA New York,Nuove piattaforme,17,"1'54""",primato italiano,16,"2'23""",-,-,,,fare export da Premiere,,,Italia;design;passato;digitale;biologico;come ci vedono;bio,,,img/thumbs/pantonelli-thumb.png
15,Paola Antonelli,,,il design,30-Nov,,xnps2cS-oCc,dQqdojeJUuU,approvato da MG/export,Rosso/giallo,Museo flessibile,16,Curatrice MoMA New York,Dimensione virtuale,19,3:00,Cambiare marcia,15,3:23,-,-,,,fare export da Premiere,,,musei;digitale;abitudini;robot;tecnologia,,,img/thumbs/pantonelli-thumb.png
16,"Claudia De Lillo ""Elasti""",,,i figli e i genitori,30-Nov,,NFCejtgFM8o,VnFp5gd61iU,approvato da MG/export,Blu/verde,Mamme elastiche,15,Blogger Nonsolomamma,Salti mortali,13,"0'41""",A misura di famiglia,20,"1'01""",rivoluzione,"1'46""",,,fare export da Premiere,,,famiglia;figli;donne;qualità della vita;lavoro;flessibilità;genitori,,,img/thumbs/
16,"Claudia De Lillo ""Elasti""",,,i figli e i genitori,30-Nov,,nNkuLhWH6TI,0DFjjVh6_TU,approvato da MG/export,Magenta/ciano,Papà migliori,13,Blogger Nonsolomamma,Accorgersi delle cose,21,5:40,Coinvolgimento condiviso,24,6'03'',-,-,,,fare export da Premiere,,,famiglia;figli;parità;abitudini;genitori,,,img/thumbs/
16,"Claudia De Lillo ""Elasti""",,,i figli e i genitori,30-Nov,,KA3mm_hyNx4,TiKAV0vhrUQ,approvato da MG/export,Rosso/giallo,Girl power,10,Blogger Nonsolomamma,Sognarsi onnipotenti,20,6:45,Mediazione,10,7:29,-,-,,,fare export da Premiere,,,donne;parità;lavoro;potere;modelli,,,img/thumbs/
17,Raffaele Cantone,,,l'etica,1-Dec,,,,problematico - v. con Paolo,Blu/verde,La fine dei furbi,17,Presidente Authority Anticorruzione,Educazione fiscale,18,2'43'',-,1,-,-,-,,,fare export da Premiere,,,tasse;governo;etica;legalità,,,img/thumbs/
17,Raffaele Cantone,,,l'etica,1-Dec,,,,problematico - v. con Paolo,Magenta/ciano,Trasparente,11,Presidente Authority Anticorruzione,In tempo reale,14,5'50'',-,1,-,-,-,,,fare export da Premiere,,,istituzioni;digitale;tecnologia;trasparenza;cittadini,,,img/thumbs/
17,Raffaele Cantone,,,l'etica,1-Dec,,,,problematico - v. con Paolo,Rosso/giallo,Pubblico meritocratico,22,Presidente Authority Anticorruzione,A chi merita,12,6'35'',-,1,-,-,-,,,fare export da Premiere,,,istituzioni;pubblica amministrazione;trasparenza;corruzione;meritocrazia;pubblico e privato,,,img/thumbs/
18,Maria Luisa Frisa,,,la moda,2-Dec,,05HN78qfziY,0qxLW42fVt0,approvato da MG/export,Blu/verde,Gioco fra i sessi ,18,Fashion curator,Totale libertà,14,2'25'',scena culturale,15,"1'23""",-,-,,,,,,moda;genere;globalizzazione;cultura;abitudini;donne,,,img/thumbs/
18,Maria Luisa Frisa,,,la moda,2-Dec,,ivqJOJKHmkc,J4uv9kSB6PE,approvato da MG/export,Magenta/ciano,Boutique enciclopedica,22,Fashion curator,Consultabile,12,"2'16""",ci penserà il web,17,"2'24""",-,-,,,,,,moda;abitudini;consumi;digitale;web,,,img/thumbs/
18,Maria Luisa Frisa,,,la moda,2-Dec,,fDGDCnXM9ag,bQiw7xVg1YA,approvato da MG/export,Rosso/giallo,Lavorare made in Italy,22,Fashion curator,Sano disincanto,15,8'27'',simile agli artisti,19,"4'12""",-,-,,,,,,moda;eccellenze italiane;Italia;lavoro;come ci vedono;,,,img/thumbs/
19,Chiara Tonelli,,,le biotecnologie,6-Dec,,,,approvato da MG,Blu/verde,Opportunità biotech,19,Genetista,Qualità della vita,18,0'47'',alimenti più sicuri,19,"1'02""",farmaci innovativi,"1'13""",,,export,,,bio;biotecnologia;ottimismo;ricerca;sostenibile;ambiente;salute;qualità della vita;agroalimentare;medicina,,,img/thumbs/
19,Chiara Tonelli,,,le biotecnologie,6-Dec,,,,approvato da MG,Magenta/ciano,Superpiante antifame,20,Genetista,Cibo per tutti,14,"2'02""",Piante più resistenti,21,"2'50""",meno sprecone,"3'28""",,,export,,,agroalimentare;sostenibile;povertà;sprechi;genetica;ricerca;acqua;risorse,,,img/thumbs/
19,Chiara Tonelli,,,le biotecnologie,6-Dec,,,,approvato da MG,Rosso/giallo,Basta bufale,12,Genetista,il caso degli OGM,17,"4'06""",in rete i fatti,15,"5'03""",-,-,,,export,,,OGM;ricerca;paura;informazione;Internet;vaccini,,,img/thumbs/
20,Giuseppe Testa,,,la salute,16-Dec,,HtyZbJbWB_A,9sX77KMtgpU,approvato da MG/export,Blu/verde,Terapia genica per tutti?,25,Oncologo,Intervenire sul genoma,22,0'47'',Sarà migliore per quanti?,25,-,-,-,,,export,,,medicina;sostenibile;salute;innovazione;opportunità;equità,,,img/thumbs/gtesta-thumb.png
20,Giuseppe Testa,,,la salute,16-Dec,,SIkClpyGWMY,dlNJs_jk0_s,approvato da MG/export,Magenta/ciano,Nuove malattie,14,Oncologo,Malattie della longevità,24,2'22'',rapporto con l'ecosistema,25,3'06'',-,-,,,export,,,medicina;ambiente;sostenibile;anziani;malattie;globalizzazione,,,img/thumbs/gtesta-thumb.png
20,Giuseppe Testa,,,la salute,16-Dec,,gvav3-L-PPU,2Czqe1jrhjI,approvato da MG/export,Rosso/giallo,Vertigine digitale,18,Oncologo,Riprogrammare,13,4:27,Avatar,6,4'43'',-,-,,,export,,,medicina;digitale;,,,img/thumbs/gtesta-thumb.png
21,Serena Giacomin,,,il clima,16-Dec,,YnbAHpQBqG8,96ys25XnyS0,approvato da MG/export,Blu/verde,Riscaldamento globale,21,Meteorologa,Più caldo,9,0'37'',Microclima,10,1'26'',-,-,,,export,,,clima;montagna;paesaggio;abitudini;ambiente,,,img/thumbs/sgiacomin-thumb.png
21,Serena Giacomin,,,il clima,16-Dec,,QHNfOpzTjB8,_UgnEMVVpsE,approvato da MG/export,Magenta/ciano,Una sfida da affrontare,23,Meteorologa,Ottimismo,9,2'29'',La giusta strada,16,-,-,-,,,export,,,ottimismo;ambiente;clima;,,,img/thumbs/sgiacomin-thumb.png
21,Serena Giacomin,,,il clima,16-Dec,,QjI4vaXoZW0,yN1LW393Prk,approvato da MG/export,Rosso/giallo,"Previsioni, non certezze",24,Meteorologa,Più dati,8,6'09'',Effetto farfalla,16,6'25'',-,-,,,export,,,tecnologia;big data;meteo;,,,img/thumbs/sgiacomin-thumb.png
22,Tomaso Poggio,,,l'intelligenza artificiale,16-Dec,,,,problematico - v. con Ale 27/2,Blu/verde,Intelligente!,13,Scienziato cognitivo,L'intelligenza umana,20,0:34,-,1,-,-,-,,,,,,scienza;tecnologia;intelligenza artificiale;progresso,,,img/thumbs/
22,Tomaso Poggio,,,l'intelligenza artificiale,16-Dec,,,,problematico - v. con Ale 27/2,Magenta/ciano,Babysitter dei robot,20,Scienziato cognitivo,Le domande giuste,17,2'48'',-,1,-,-,-,,,,,,scienza;tecnologia;automobili;intelligenza artificiale;abitudini;robot,,,img/thumbs/
22,Tomaso Poggio,,,l'intelligenza artificiale,16-Dec,,,,problematico - v. con Ale 27/2,Rosso/giallo,- lavoro + arte,15,Scienziato cognitivo,Ingegneria sociale,18,6'13'',Riciclare la ricchezza,22,6'40'',-,-,,,,,,lavoro;computer;intelligenza artificiale;società;ricchezza;ottimismo,,,img/thumbs/
23,Bebe Vio,Y,,la disabilità,20-Dec,,,,approvato da MG,Blu/verde,50% robot,9,Atleta,Non abbiamo limiti,18,0'43'',-,1,-,-,-,,,export,,,disabilità;tecnologia;opportunità;ottimismo;medicina,,,img/thumbs/
23,Bebe Vio,Y,,la disabilità,20-Dec,,,,approvato da MG,Magenta/ciano,Accessibile per tutti,21,Atleta,Un paio di occhiali,19,1'35'',un mondo bellissimo,19,1'51'',-,-,,,export,,,disabilità;accessibilità;paura,,,img/thumbs/
23,Bebe Vio,Y,,la disabilità,20-Dec,,,,approvato da MG,Rosso/giallo,Disabilità in estinzione,24,Atleta,cose superbelle,15,2'48'',tutte persone normali,21,-,-,-,,,export,,,disabilità;ottimismo;discriminazione;parità;vaccini,,,img/thumbs/
24,Catia Bastioli,,,la bioeconomia,23-Gen,,,,approvato da MG,Blu/verde,Primi in bioeconomia,20,Inventrice del Mater-Bi (TBC),Italia in anticipo,18,0:44,Rigenerazione,13,"1'28""",-,-,,,export,,,bio;biotecnologia;tecnologia;eccellenze italiane;crescita;mediterraneo;politica;economia;territorio;network;bioeconomia,,,img/thumbs/
24,Catia Bastioli,,,la bioeconomia,23-Gen,,,,approvato da MG,Magenta/ciano,Fare sistema,12,Inventrice del Mater-Bi (TBC),Non solo rinnovabili,20,2:10,Progetto di sviluppo,20,2:45,Ponti,3'10,,,export,,,territorio;materiali;crescita;network;ambiente;bioeconomia;bio,,,img/thumbs/
24,Catia Bastioli,,,la bioeconomia,23-Gen,,,,approvato da MG,Rosso/giallo,Buona plastica,14,Inventrice del Mater-Bi (TBC),come una buccia di mela,23,"4'03""",Humus di qualità,16,4:30,accelerazione,"4'45""",,,export,,,materiali;sostenibile;rifiuti;ambiente;biotecnologia;crescita;network;bioeconomia;plastica;bio,,,img/thumbs/
25,Maurizio Molinari,,,terrorismo,15-Dec,,,,rough edit,Blu/verde,,0,Giornalista (TBC),,0,,,0,,,,,,,,,,,,
25,Maurizio Molinari,,,terrorismo,15-Dec,,,,rough edit,Magenta/ciano,,0,Giornalista (TBC),,0,,,0,,,,,,,,,,,,
25,Maurizio Molinari,,,terrorismo,15-Dec,,,,rough edit,Rosso/giallo,,0,Giornalista (TBC),,0,,,0,,,,,,,,,,,,
26,Titti Postiglione,,,protezione civile,16-Gen,,,,rough edit,Blu/verde,,0,Coordinatore Emergenze PC,,0,,,0,,,,,,,,,,,,
26,Titti Postiglione,,,protezione civile,16-Gen,,,,rough edit,Magenta/ciano,,0,Coordinatore Emergenze PC,,0,,,0,,,,,,,,,,,,
26,Titti Postiglione,,,protezione civile,16-Gen,,,,rough edit,Rosso/giallo,,0,Coordinatore Emergenze PC,,0,,,0,,,,,,,,,,,,
27,Esmeralda Elmazi,,,integrazione,18-Gen,,,,riprese,Blu/verde,,0,Avvocato,,0,,,0,,,,,,,,,,,,
27,Esmeralda Elmazi,,,integrazione,18-Gen,,,,riprese,Magenta/ciano,,0,Avvocato,,0,,,0,,,,,,,,,,,,
27,Esmeralda Elmazi,,,integrazione,18-Gen,,,,riprese,Rosso/giallo,,0,Avvocato,,0,,,0,,,,,,,,,,,,
28,Elena Cattaneo,,,neuroscienze,25-Gen,,,,rough edit,Blu/verde,,0,Farmacologa/biologa (?),,0,,,0,,,,,,,,,,,,
28,Elena Cattaneo,,,neuroscienze,25-Gen,,,,rough edit,Magenta/ciano,,0,Farmacologa/biologa (?),,0,,,0,,,,,,,,,,,,
28,Elena Cattaneo,,,neuroscienze,25-Gen,,,,rough edit,Rosso/giallo,,0,Farmacologa/biologa (?),,0,,,0,,,,,,,,,,,,
29,Enrico Moretti,,,lavoro,25-gen,,,,riprese,Blu/verde,,0,Economista,,0,,,0,,,,,,,,,,,,
29,Enrico Moretti,,,lavoro,25-gen,,,,riprese,Magenta/ciano,,0,Economista,,0,,,0,,,,,,,,,,,,
29,Enrico Moretti,,,lavoro,25-gen,,,,riprese,Rosso/giallo,,0,Economista,,0,,,0,,,,,,,,,,,,
30,Francesco Daveri,,,,7-Feb,,,,rough edit,Blu/verde,,0,Economista politico,,0,,,0,,,,,,,,,,,,
30,Francesco Daveri,,,,7-Feb,,,,rough edit,Magenta/ciano,,0,Economista politico,,0,,,0,,,,,,,,,,,,
30,Francesco Daveri,,,,7-Feb,,,,rough edit,Rosso/giallo,,0,Economista politico,,0,,,0,,,,,,,,,,,,
31,Roberta Ceretto,,,,7-Feb,,,,riprese,Blu/verde,,0,Viticoltore (?),,0,,,0,,,,,,,,,,,,
31,Roberta Ceretto,,,,7-Feb,,,,riprese,Magenta/ciano,,0,Viticoltore (?),,0,,,0,,,,,,,,,,,,
31,Roberta Ceretto,,,,7-Feb,,,,riprese,Rosso/giallo,,0,Viticoltore (?),,0,,,0,,,,,,,,,,,,
32,Melinda Gates,,Y,filantropia,15-Feb,,,,riprese,Blu/verde,,0,Filantropa/Philantropist (per Schmidt avevamo messo in inglese),,0,,,0,,,,,,,,,,,,
32,Melinda Gates,,Y,filantropia,15-Feb,,,,riprese,Magenta/ciano,,0,Filantropa/Philantropist (per Schmidt avevamo messo in inglese),,0,,,0,,,,,,,,,,,,
